,genes,hgnc_id
ENSG00000127533,F2RL3,HGNC:3540
ENSG00000127540,UQCR11,HGNC:30862
ENSG00000127554,GFER,HGNC:4236
ENSG00000127561,SYNGR3,HGNC:11501
ENSG00000127564,PKMYT1,HGNC:29650
ENSG00000127578,WFIKKN1,HGNC:30912
ENSG00000127580,WDR24,HGNC:20852
ENSG00000127585,FBXL16,HGNC:14150
ENSG00000127586,CHTF18,HGNC:18435
ENSG00000127588,GNG13,HGNC:14131
ENSG00000127603,MACF1,HGNC:13664
ENSG00000127616,SMARCA4,HGNC:11100
ENSG00000127663,KDM4B,HGNC:29136
ENSG00000127666,TICAM1,HGNC:18348
ENSG00000127720,METTL25,HGNC:26228
ENSG00000127743,IL17B,HGNC:5982
ENSG00000127774,EMC6,HGNC:28430
ENSG00000127780,OR1E2,HGNC:8190
ENSG00000127804,METTL16,HGNC:28484
ENSG00000127824,TUBA4A,HGNC:12407
ENSG00000127831,VIL1,HGNC:12690
ENSG00000127837,AAMP,HGNC:18
ENSG00000127838,PNKD,HGNC:9153
ENSG00000127863,TNFRSF19,HGNC:11915
ENSG00000127870,RNF6,HGNC:10069
ENSG00000127884,ECHS1,HGNC:3151
ENSG00000127903,ZNF835,HGNC:34332
ENSG00000127914,AKAP9,HGNC:379
ENSG00000127920,GNG11,HGNC:4403
ENSG00000127922,SEM1,HGNC:10845
ENSG00000127928,GNGT1,HGNC:4411
ENSG00000127946,HIP1,HGNC:4913
ENSG00000127947,PTPN12,HGNC:9645
ENSG00000127948,POR,HGNC:9208
ENSG00000127951,FGL2,HGNC:3696
ENSG00000127952,STYXL1,HGNC:18165
ENSG00000127954,STEAP4,HGNC:21923
ENSG00000127955,GNAI1,HGNC:4384
ENSG00000127980,PEX1,HGNC:8850
ENSG00000127989,MTERF1,HGNC:21463
ENSG00000127990,SGCE,HGNC:10808
ENSG00000127993,RBM48,HGNC:21785
ENSG00000127995,CASD1,HGNC:16014
ENSG00000128000,ZNF780B,HGNC:33109
ENSG00000128011,LRFN1,HGNC:29290
ENSG00000128016,ZFP36,HGNC:12862
ENSG00000128039,SRD5A3,HGNC:25812
ENSG00000128040,SPINK2,HGNC:11245
ENSG00000128045,RASL11B,HGNC:23804
ENSG00000128050,PAICS,HGNC:8587
ENSG00000128052,KDR,HGNC:6307
ENSG00000128059,PPAT,HGNC:9238
ENSG00000128159,TUBGCP6,HGNC:18127
ENSG00000128165,ADM2,HGNC:28898
ENSG00000128185,DGCR6L,HGNC:18551
ENSG00000128191,DGCR8,HGNC:2847
ENSG00000128203,ASPHD2,HGNC:30437
ENSG00000128218,VPREB3,HGNC:12710
ENSG00000128228,SDF2L1,HGNC:10676
ENSG00000128242,GAL3ST1,HGNC:24240
ENSG00000128245,YWHAH,HGNC:12853
ENSG00000128250,RFPL1,HGNC:9977
ENSG00000128253,RFPL2,HGNC:9979
ENSG00000128266,GNAZ,HGNC:4395
ENSG00000128268,MGAT3,HGNC:7046
ENSG00000128271,ADORA2A,HGNC:263
ENSG00000128272,ATF4,HGNC:786
ENSG00000128274,A4GALT,HGNC:18149
ENSG00000128276,RFPL3,HGNC:9980
ENSG00000128283,CDC42EP1,HGNC:17014
ENSG00000128284,APOL3,HGNC:14868
ENSG00000128285,MCHR1,HGNC:4479
ENSG00000128294,TPST2,HGNC:12021
ENSG00000128298,BAIAP2L2,HGNC:26203
ENSG00000128309,MPST,HGNC:7223
ENSG00000128310,GALR3,HGNC:4134
ENSG00000128311,TST,HGNC:12388
ENSG00000128313,APOL5,HGNC:14869
ENSG00000128322,IGLL1,HGNC:5870
ENSG00000128335,APOL2,HGNC:619
ENSG00000128340,RAC2,HGNC:9802
ENSG00000128342,LIF,HGNC:6596
ENSG00000128346,C22orf23,HGNC:18589
ENSG00000128383,APOBEC3A,HGNC:17343
ENSG00000128394,APOBEC3F,HGNC:17356
ENSG00000128408,RIBC2,HGNC:13241
ENSG00000128422,KRT17,HGNC:6427
ENSG00000128463,EMC4,HGNC:28032
ENSG00000128482,RNF112,HGNC:12968
ENSG00000128487,SPECC1,HGNC:30615
ENSG00000128510,CPA4,HGNC:15740
ENSG00000128512,DOCK4,HGNC:19192
ENSG00000128513,POT1,HGNC:17284
ENSG00000128519,TAS2R16,HGNC:14921
ENSG00000128524,ATP6V1F,HGNC:16832
ENSG00000128534,LSM8,HGNC:20471
ENSG00000128536,CDHR3,HGNC:26308
ENSG00000128563,PRKRIP1,HGNC:21894
ENSG00000128564,VGF,HGNC:12684
ENSG00000128567,PODXL,HGNC:9171
ENSG00000128573,FOXP2,HGNC:13875
ENSG00000128578,STRIP2,HGNC:22209
ENSG00000128581,IFT22,HGNC:21895
ENSG00000128585,MKLN1,HGNC:7109
ENSG00000128590,DNAJB9,HGNC:6968
ENSG00000128591,FLNC,HGNC:3756
ENSG00000128594,LRRC4,HGNC:15586
ENSG00000128595,CALU,HGNC:1458
ENSG00000128596,CCDC136,HGNC:22225
ENSG00000128602,SMO,HGNC:11119
ENSG00000128604,IRF5,HGNC:6120
ENSG00000128606,LRRC17,HGNC:16895
ENSG00000128607,KLHDC10,HGNC:22194
ENSG00000128609,NDUFA5,HGNC:7688
ENSG00000128610,FEZF1,HGNC:22788
ENSG00000128617,OPN1SW,HGNC:1012
ENSG00000128626,MRPS12,HGNC:10380
ENSG00000128641,MYO1B,HGNC:7596
ENSG00000128645,HOXD1,HGNC:5132
ENSG00000128652,HOXD3,HGNC:5137
ENSG00000128654,MTX2,HGNC:7506
ENSG00000128655,PDE11A,HGNC:8773
ENSG00000128656,CHN1,HGNC:1943
ENSG00000128683,GAD1,HGNC:4092
ENSG00000128694,OSGEPL1,HGNC:23075
ENSG00000128699,ORMDL1,HGNC:16036
ENSG00000128708,HAT1,HGNC:4821
ENSG00000128709,HOXD9,HGNC:5140
ENSG00000128710,HOXD10,HGNC:5133
ENSG00000128713,HOXD11,HGNC:5134
ENSG00000128714,HOXD13,HGNC:5136
ENSG00000128731,HERC2,HGNC:4868
ENSG00000128739,SNRPN,HGNC:11164
ENSG00000128789,PSMG2,HGNC:24929
ENSG00000128791,TWSG1,HGNC:12429
ENSG00000128805,ARHGAP22,HGNC:30320
ENSG00000128815,WDFY4,HGNC:29323
ENSG00000128829,EIF2AK4,HGNC:19687
ENSG00000128833,MYO5C,HGNC:7604
ENSG00000128849,CGNL1,HGNC:25931
ENSG00000128872,TMOD2,HGNC:11872
ENSG00000128881,TTBK2,HGNC:19141
ENSG00000128886,ELL3,HGNC:23113
ENSG00000128891,CCDC32,HGNC:28295
ENSG00000128908,INO80,HGNC:26956
ENSG00000128915,ICE2,HGNC:29885
ENSG00000128917,DLL4,HGNC:2910
ENSG00000128918,ALDH1A2,HGNC:15472
ENSG00000128923,MINDY2,HGNC:26954
ENSG00000128928,IVD,HGNC:6186
ENSG00000128944,KNSTRN,HGNC:30767
ENSG00000128951,DUT,HGNC:3078
ENSG00000128965,CHAC1,HGNC:28680
ENSG00000128973,CLN6,HGNC:2077
ENSG00000128989,ARPP19,HGNC:16967
ENSG00000129003,VPS13C,HGNC:23594
ENSG00000129007,CALML4,HGNC:18445
ENSG00000129009,ISLR,HGNC:6133
ENSG00000129028,THAP10,HGNC:23193
ENSG00000129038,LOXL1,HGNC:6665
ENSG00000129048,ACKR4,HGNC:1611
ENSG00000129055,ANAPC13,HGNC:24540
ENSG00000129071,MBD4,HGNC:6919
ENSG00000129083,COPB1,HGNC:2231
ENSG00000129084,PSMA1,HGNC:9530
ENSG00000129103,SUMF2,HGNC:20415
ENSG00000129116,PALLD,HGNC:17068
ENSG00000129128,SPCS3,HGNC:26212
ENSG00000129151,BBOX1,HGNC:964
ENSG00000129152,MYOD1,HGNC:7611
ENSG00000129158,SERGEF,HGNC:17499
ENSG00000129159,KCNC1,HGNC:6233
ENSG00000129167,TPH1,HGNC:12008
ENSG00000129170,CSRP3,HGNC:2472
ENSG00000129173,E2F8,HGNC:24727
ENSG00000129187,DCTD,HGNC:2710
ENSG00000129194,SOX15,HGNC:11196
ENSG00000129195,PIMREG,HGNC:25483
ENSG00000129197,RPAIN,HGNC:28641
ENSG00000129204,USP6,HGNC:12629
ENSG00000129214,SHBG,HGNC:10839
ENSG00000129219,PLD2,HGNC:9068
ENSG00000129221,AIPL1,HGNC:359
ENSG00000129226,CD68,HGNC:1693
ENSG00000129235,TXNDC17,HGNC:28218
ENSG00000129244,ATP1B2,HGNC:805
ENSG00000129245,FXR2,HGNC:4024
ENSG00000129250,KIF1C,HGNC:6317
ENSG00000129255,MPDU1,HGNC:7207
ENSG00000129292,PHF20L1,HGNC:24280
ENSG00000129295,LRRC6,HGNC:16725
ENSG00000129315,CCNT1,HGNC:1599
ENSG00000129317,PUS7L,HGNC:25276
ENSG00000129347,KRI1,HGNC:25769
ENSG00000129351,ILF3,HGNC:6038
ENSG00000129353,SLC44A2,HGNC:17292
ENSG00000129354,AP1M2,HGNC:558
ENSG00000129355,CDKN2D,HGNC:1790
ENSG00000129422,MTUS1,HGNC:29789
ENSG00000129437,KLK14,HGNC:6362
ENSG00000129450,SIGLEC9,HGNC:10878
ENSG00000129451,KLK10,HGNC:6358
ENSG00000129455,KLK8,HGNC:6369
ENSG00000129460,NGDN,HGNC:20271
ENSG00000129465,RIPK3,HGNC:10021
ENSG00000129467,ADCY4,HGNC:235
ENSG00000129472,RAB2B,HGNC:20246
ENSG00000129473,BCL2L2,HGNC:995
ENSG00000129474,AJUBA,HGNC:20250
ENSG00000129480,DTD2,HGNC:20277
ENSG00000129484,PARP2,HGNC:272
ENSG00000129493,HEATR5A,HGNC:20276
ENSG00000129514,FOXA1,HGNC:5021
ENSG00000129515,SNX6,HGNC:14970
ENSG00000129518,EAPP,HGNC:19312
ENSG00000129521,EGLN3,HGNC:14661
ENSG00000129534,MIS18BP1,HGNC:20190
ENSG00000129535,NRL,HGNC:8002
ENSG00000129538,RNASE1,HGNC:10044
ENSG00000129559,NEDD8,HGNC:7732
ENSG00000129562,DAD1,HGNC:2664
ENSG00000129566,TEP1,HGNC:11726
ENSG00000129595,EPB41L4A,HGNC:13278
ENSG00000129596,CDO1,HGNC:1795
ENSG00000129625,REEP5,HGNC:30077
ENSG00000129636,ITFG1,HGNC:30697
ENSG00000129646,QRICH2,HGNC:25326
ENSG00000129654,FOXJ1,HGNC:3816
ENSG00000129657,SEC14L1,HGNC:10698
ENSG00000129667,RHBDF2,HGNC:20788
ENSG00000129673,AANAT,HGNC:19
ENSG00000129675,ARHGEF6,HGNC:685
ENSG00000129680,MAP7D3,HGNC:25742
ENSG00000129682,FGF13,HGNC:3670
ENSG00000129691,ASH2L,HGNC:744
ENSG00000129696,TTI2,HGNC:26262
ENSG00000129744,ART1,HGNC:723
ENSG00000129749,CHRNA10,HGNC:13800
ENSG00000129757,CDKN1C,HGNC:1786
ENSG00000129810,SGO1,HGNC:25088
ENSG00000129824,RPS4Y1,HGNC:10425
ENSG00000129862,VCY1B,HGNC:31751
ENSG00000129864,VCY,HGNC:12668
ENSG00000129873,CDY2B,HGNC:23921
ENSG00000129910,CDH15,HGNC:1754
ENSG00000129911,KLF16,HGNC:16857
ENSG00000129925,PGAP6,HGNC:17205
ENSG00000129932,DOHH,HGNC:28662
ENSG00000129933,MAU2,HGNC:29140
ENSG00000129946,SHC2,HGNC:29869
ENSG00000129951,PLPPR3,HGNC:23497
ENSG00000129965,INS-IGF2,HGNC:33527
ENSG00000129968,ABHD17A,HGNC:28756
ENSG00000129988,LBP,HGNC:6517
ENSG00000129990,SYT5,HGNC:11513
ENSG00000129991,TNNI3,HGNC:11947
ENSG00000129993,CBFA2T3,HGNC:1537
ENSG00000130005,GAMT,HGNC:4136
ENSG00000130021,PUDP,HGNC:16818
ENSG00000130023,ERMARD,HGNC:21056
ENSG00000130024,PHF10,HGNC:18250
ENSG00000130032,PRRG3,HGNC:30798
ENSG00000130035,GALNT8,HGNC:4130
ENSG00000130037,KCNA5,HGNC:6224
ENSG00000130038,CRACR2A,HGNC:28657
ENSG00000130045,NXNL2,HGNC:30482
ENSG00000130052,STARD8,HGNC:19161
ENSG00000130054,FAM155B,HGNC:30701
ENSG00000130055,GDPD2,HGNC:25974
ENSG00000130066,SAT1,HGNC:10540
ENSG00000130119,GNL3L,HGNC:25553
ENSG00000130147,SH3BP4,HGNC:10826
ENSG00000130150,MOSPD2,HGNC:28381
ENSG00000130158,DOCK6,HGNC:19189
ENSG00000130159,ECSIT,HGNC:29548
ENSG00000130164,LDLR,HGNC:6547
ENSG00000130165,ELOF1,HGNC:28691
ENSG00000130167,TSPAN16,HGNC:30725
ENSG00000130173,ANGPTL8,HGNC:24933
ENSG00000130175,PRKCSH,HGNC:9411
ENSG00000130176,CNN1,HGNC:2155
ENSG00000130177,CDC16,HGNC:1720
ENSG00000130182,ZSCAN10,HGNC:12997
ENSG00000130193,THEM6,HGNC:29656
ENSG00000130202,NECTIN2,HGNC:9707
ENSG00000130203,APOE,HGNC:613
ENSG00000130204,TOMM40,HGNC:18001
ENSG00000130208,APOC1,HGNC:607
ENSG00000130222,GADD45G,HGNC:4097
ENSG00000130224,LRCH2,HGNC:29292
ENSG00000130226,DPP6,HGNC:3010
ENSG00000130227,XPO7,HGNC:14108
ENSG00000130234,ACE2,HGNC:13557
ENSG00000130244,FAM98C,HGNC:27119
ENSG00000130254,SAFB2,HGNC:21605
ENSG00000130255,RPL36,HGNC:13631
ENSG00000130270,ATP8B3,HGNC:13535
ENSG00000130283,GDF1,HGNC:4214
ENSG00000130287,NCAN,HGNC:2465
ENSG00000130294,KIF1A,HGNC:888
ENSG00000130299,GTPBP3,HGNC:14880
ENSG00000130300,PLVAP,HGNC:13635
ENSG00000130303,BST2,HGNC:1119
ENSG00000130304,SLC27A1,HGNC:10995
ENSG00000130305,NSUN5,HGNC:16385
ENSG00000130307,USHBP1,HGNC:24058
ENSG00000130309,COLGALT1,HGNC:26182
ENSG00000130311,DDA1,HGNC:28360
ENSG00000130312,MRPL34,HGNC:14488
ENSG00000130313,PGLS,HGNC:8903
ENSG00000130332,LSM7,HGNC:20470
ENSG00000130338,TULP4,HGNC:15530
ENSG00000130340,SNX9,HGNC:14973
ENSG00000130347,RTN4IP1,HGNC:18647
ENSG00000130348,QRSL1,HGNC:21020
ENSG00000130349,MTRES1,HGNC:17971
ENSG00000130363,RSPH3,HGNC:21054
ENSG00000130368,MAS1,HGNC:6899
ENSG00000130377,ACSBG2,HGNC:24174
ENSG00000130382,MLLT1,HGNC:7134
ENSG00000130383,FUT5,HGNC:4016
ENSG00000130385,BMP15,HGNC:1068
ENSG00000130396,AFDN,HGNC:7137
ENSG00000130402,ACTN4,HGNC:166
ENSG00000130413,STK33,HGNC:14568
ENSG00000130414,NDUFA10,HGNC:7684
ENSG00000130427,EPO,HGNC:3415
ENSG00000130429,ARPC1B,HGNC:704
ENSG00000130433,CACNG6,HGNC:13625
ENSG00000130449,ZSWIM6,HGNC:29316
ENSG00000130475,FCHO1,HGNC:29002
ENSG00000130477,UNC13A,HGNC:23150
ENSG00000130479,MAP1S,HGNC:15715
ENSG00000130487,KLHDC7B,HGNC:25145
ENSG00000130508,PXDN,HGNC:14966
ENSG00000130511,SSBP4,HGNC:15676
ENSG00000130513,GDF15,HGNC:30142
ENSG00000130517,PGPEP1,HGNC:13568
ENSG00000130518,IQCN,HGNC:29350
ENSG00000130520,LSM4,HGNC:17259
ENSG00000130522,JUND,HGNC:6206
ENSG00000130528,HRC,HGNC:5178
ENSG00000130529,TRPM4,HGNC:17993
ENSG00000130538,OR11H1,HGNC:15404
ENSG00000130540,SULT4A1,HGNC:14903
ENSG00000130544,ZNF557,HGNC:28632
ENSG00000130545,CRB3,HGNC:20237
ENSG00000130558,OLFM1,HGNC:17187
ENSG00000130559,CAMSAP1,HGNC:19946
ENSG00000130560,UBAC1,HGNC:30221
ENSG00000130561,SAG,HGNC:10521
ENSG00000130584,ZBTB46,HGNC:16094
ENSG00000130589,HELZ2,HGNC:30021
ENSG00000130590,SAMD10,HGNC:16129
ENSG00000130592,LSP1,HGNC:6707
ENSG00000130595,TNNT3,HGNC:11950
ENSG00000130598,TNNI2,HGNC:11946
ENSG00000130635,COL5A1,HGNC:2209
ENSG00000130638,ATXN10,HGNC:10549
ENSG00000130640,TUBGCP2,HGNC:18599
ENSG00000130643,CALY,HGNC:17938
ENSG00000130649,CYP2E1,HGNC:2631
ENSG00000130653,PNPLA7,HGNC:24768
ENSG00000130656,HBZ,HGNC:4835
ENSG00000130669,PAK4,HGNC:16059
ENSG00000130675,MNX1,HGNC:4979
ENSG00000130684,ZNF337,HGNC:15809
ENSG00000130695,CEP85,HGNC:25309
ENSG00000130699,TAF4,HGNC:11537
ENSG00000130700,GATA5,HGNC:15802
ENSG00000130701,RBBP8NL,HGNC:16144
ENSG00000130702,LAMA5,HGNC:6485
ENSG00000130703,OSBPL2,HGNC:15761
ENSG00000130706,ADRM1,HGNC:15759
ENSG00000130707,ASS1,HGNC:758
ENSG00000130711,PRDM12,HGNC:13997
ENSG00000130713,EXOSC2,HGNC:17097
ENSG00000130714,POMT1,HGNC:9202
ENSG00000130717,UCK1,HGNC:14859
ENSG00000130720,FIBCD1,HGNC:25922
ENSG00000130723,PRRC2B,HGNC:28121
ENSG00000130724,CHMP2A,HGNC:30216
ENSG00000130725,UBE2M,HGNC:12491
ENSG00000130726,TRIM28,HGNC:16384
ENSG00000130731,METTL26,HGNC:14141
ENSG00000130733,YIPF2,HGNC:28476
ENSG00000130734,ATG4D,HGNC:20789
ENSG00000130741,EIF2S3,HGNC:3267
ENSG00000130748,TMEM160,HGNC:26042
ENSG00000130749,ZC3H4,HGNC:17808
ENSG00000130751,NPAS1,HGNC:7894
ENSG00000130755,GMFG,HGNC:4374
ENSG00000130758,MAP3K10,HGNC:6849
ENSG00000130762,ARHGEF16,HGNC:15515
ENSG00000130764,LRRC47,HGNC:29207
ENSG00000130766,SESN2,HGNC:20746
ENSG00000130768,SMPDL3B,HGNC:21416
ENSG00000130770,ATP5IF1,HGNC:871
ENSG00000130772,MED18,HGNC:25944
ENSG00000130775,THEMIS2,HGNC:16839
ENSG00000130779,CLIP1,HGNC:10461
ENSG00000130783,CCDC62,HGNC:30723
ENSG00000130787,HIP1R,HGNC:18415
ENSG00000130803,ZNF317,HGNC:13507
ENSG00000130810,PPAN,HGNC:9227
ENSG00000130811,EIF3G,HGNC:3274
ENSG00000130812,ANGPTL6,HGNC:23140
ENSG00000130813,SHFL,HGNC:25649
ENSG00000130816,DNMT1,HGNC:2976
ENSG00000130818,ZNF426,HGNC:20725
ENSG00000130821,SLC6A8,HGNC:11055
ENSG00000130822,PNCK,HGNC:13415
ENSG00000130826,DKC1,HGNC:2890
ENSG00000130827,PLXNA3,HGNC:9101
ENSG00000130829,DUSP9,HGNC:3076
ENSG00000130830,MPP1,HGNC:7219
ENSG00000130844,ZNF331,HGNC:15489
ENSG00000130856,ZNF236,HGNC:13028
ENSG00000130876,SLC7A10,HGNC:11058
ENSG00000130881,LRP3,HGNC:6695
ENSG00000130921,C12orf65,HGNC:26784
ENSG00000130935,NOL11,HGNC:24557
ENSG00000130939,UBE4B,HGNC:12500
ENSG00000130940,CASZ1,HGNC:26002
ENSG00000130943,PKDREJ,HGNC:9015
ENSG00000130948,HSD17B3,HGNC:5212
ENSG00000130950,NUTM2F,HGNC:23450
ENSG00000130956,HABP4,HGNC:17062
ENSG00000130957,FBP2,HGNC:3607
ENSG00000130958,SLC35D2,HGNC:20799
ENSG00000130962,PRRG1,HGNC:9469
ENSG00000130985,UBA1,HGNC:12469
ENSG00000130988,RGN,HGNC:9989
ENSG00000130997,POLN,HGNC:18870
ENSG00000131013,PPIL4,HGNC:15702
ENSG00000131015,ULBP2,HGNC:14894
ENSG00000131016,AKAP12,HGNC:370
ENSG00000131018,SYNE1,HGNC:17089
ENSG00000131019,ULBP3,HGNC:14895
ENSG00000131023,LATS1,HGNC:6514
ENSG00000131037,EPS8L1,HGNC:21295
ENSG00000131042,LILRB2,HGNC:6606
ENSG00000131043,AAR2,HGNC:15886
ENSG00000131044,TTLL9,HGNC:16118
ENSG00000131050,BPIFA2,HGNC:16203
ENSG00000131051,RBM39,HGNC:15923
ENSG00000131055,COX4I2,HGNC:16232
ENSG00000131059,BPIFA3,HGNC:16204
ENSG00000131061,ZNF341,HGNC:15992
ENSG00000131067,GGT7,HGNC:4259
ENSG00000131068,DEFB118,HGNC:16196
ENSG00000131069,ACSS2,HGNC:15814
ENSG00000131080,EDA2R,HGNC:17756
ENSG00000131089,ARHGEF9,HGNC:14561
ENSG00000131094,C1QL1,HGNC:24182
ENSG00000131095,GFAP,HGNC:4235
ENSG00000131096,PYY,HGNC:9748
ENSG00000131097,HIGD1B,HGNC:24318
ENSG00000131100,ATP6V1E1,HGNC:857
ENSG00000131115,ZNF227,HGNC:13020
ENSG00000131116,ZNF428,HGNC:20804
ENSG00000131126,TEX101,HGNC:30722
ENSG00000131127,ZNF141,HGNC:12926
ENSG00000131142,CCL25,HGNC:10624
ENSG00000131143,COX4I1,HGNC:2265
ENSG00000131148,EMC8,HGNC:7864
ENSG00000131149,GSE1,HGNC:28979
ENSG00000131152,AC010531.1,NA
ENSG00000131153,GINS2,HGNC:24575
ENSG00000131165,CHMP1A,HGNC:8740
ENSG00000131171,SH3BGRL,HGNC:10823
ENSG00000131174,COX7B,HGNC:2291
ENSG00000131183,SLC34A1,HGNC:11019
ENSG00000131187,F12,HGNC:3530
ENSG00000131188,PRR7,HGNC:28130
ENSG00000131196,NFATC1,HGNC:7775
ENSG00000131203,IDO1,HGNC:6059
ENSG00000131233,GJA9,HGNC:19155
ENSG00000131236,CAP1,HGNC:20040
ENSG00000131238,PPT1,HGNC:9325
ENSG00000131242,RAB11FIP4,HGNC:30267
ENSG00000131263,RLIM,HGNC:13429
ENSG00000131264,CDX4,HGNC:1808
ENSG00000131269,ABCB7,HGNC:48
ENSG00000131323,TRAF3,HGNC:12033
ENSG00000131351,HAUS8,HGNC:30532
ENSG00000131355,ADGRE3,HGNC:23647
ENSG00000131368,MRPS25,HGNC:14511
ENSG00000131370,SH3BP5,HGNC:10827
ENSG00000131373,HACL1,HGNC:17856
ENSG00000131374,TBC1D5,HGNC:19166
ENSG00000131375,CAPN7,HGNC:1484
ENSG00000131378,RFTN1,HGNC:30278
ENSG00000131379,C3orf20,HGNC:25320
ENSG00000131381,RBSN,HGNC:20759
ENSG00000131386,GALNT15,HGNC:21531
ENSG00000131389,SLC6A6,HGNC:11052
ENSG00000131398,KCNC3,HGNC:6235
ENSG00000131400,NAPSA,HGNC:13395
ENSG00000131408,NR1H2,HGNC:7965
ENSG00000131409,LRRC4B,HGNC:25042
ENSG00000131435,PDLIM4,HGNC:16501
ENSG00000131437,KIF3A,HGNC:6319
ENSG00000131446,MGAT1,HGNC:7044
ENSG00000131459,GFPT2,HGNC:4242
ENSG00000131462,TUBG1,HGNC:12417
ENSG00000131467,PSME3,HGNC:9570
ENSG00000131469,RPL27,HGNC:10328
ENSG00000131470,PSMC3IP,HGNC:17928
ENSG00000131471,AOC3,HGNC:550
ENSG00000131473,ACLY,HGNC:115
ENSG00000131475,VPS25,HGNC:28122
ENSG00000131477,RAMP2,HGNC:9844
ENSG00000131480,AOC2,HGNC:549
ENSG00000131482,G6PC,HGNC:4056
ENSG00000131495,NDUFA2,HGNC:7685
ENSG00000131503,ANKHD1,HGNC:24714
ENSG00000131504,DIAPH1,HGNC:2876
ENSG00000131507,NDFIP1,HGNC:17592
ENSG00000131508,UBE2D2,HGNC:12475
ENSG00000131558,EXOC4,HGNC:30389
ENSG00000131584,ACAP3,HGNC:16754
ENSG00000131591,C1orf159,HGNC:26062
ENSG00000131620,ANO1,HGNC:21625
ENSG00000131626,PPFIA1,HGNC:9245
ENSG00000131634,TMEM204,HGNC:14158
ENSG00000131650,KREMEN2,HGNC:18797
ENSG00000131652,THOC6,HGNC:28369
ENSG00000131653,TRAF7,HGNC:20456
ENSG00000131668,BARX1,HGNC:955
ENSG00000131669,NINJ1,HGNC:7824
ENSG00000131686,CA6,HGNC:1380
ENSG00000131697,NPHP4,HGNC:19104
ENSG00000131711,MAP1B,HGNC:6836
ENSG00000131721,RHOXF2,HGNC:30011
ENSG00000131724,IL13RA1,HGNC:5974
ENSG00000131725,WDR44,HGNC:30512
ENSG00000131730,CKMT2,HGNC:1996
ENSG00000131732,ZCCHC9,HGNC:25424
ENSG00000131737,KRT34,HGNC:6452
ENSG00000131738,KRT33B,HGNC:6451
ENSG00000131746,TNS4,HGNC:24352
ENSG00000131747,TOP2A,HGNC:11989
ENSG00000131748,STARD3,HGNC:17579
ENSG00000131759,RARA,HGNC:9864
ENSG00000131771,PPP1R1B,HGNC:9287
ENSG00000131773,KHDRBS3,HGNC:18117
ENSG00000131778,CHD1L,HGNC:1916
ENSG00000131779,PEX11B,HGNC:8853
ENSG00000131781,FMO5,HGNC:3773
ENSG00000131788,PIAS3,HGNC:16861
ENSG00000131791,PRKAB2,HGNC:9379
ENSG00000131808,FSHB,HGNC:3964
ENSG00000131828,PDHA1,HGNC:8806
ENSG00000131831,RAI2,HGNC:9835
ENSG00000131844,MCCC2,HGNC:6937
ENSG00000131845,ZNF304,HGNC:13505
ENSG00000131848,ZSCAN5A,HGNC:23710
ENSG00000131849,ZNF132,HGNC:12916
ENSG00000131864,USP29,HGNC:18563
ENSG00000131871,SELENOS,HGNC:30396
ENSG00000131873,CHSY1,HGNC:17198
ENSG00000131876,SNRPA1,HGNC:11152
ENSG00000131899,LLGL1,HGNC:6628
ENSG00000131910,NR0B2,HGNC:7961
ENSG00000131914,LIN28A,HGNC:15986
ENSG00000131931,THAP1,HGNC:20856
ENSG00000131941,RHPN2,HGNC:19974
ENSG00000131943,C19orf12,HGNC:25443
ENSG00000131944,FAAP24,HGNC:28467
ENSG00000131951,LRRC9,HGNC:19848
ENSG00000131966,ACTR10,HGNC:17372
ENSG00000131969,ABHD12B,HGNC:19837
ENSG00000131979,GCH1,HGNC:4193
ENSG00000131981,LGALS3,HGNC:6563
ENSG00000132000,PODNL1,HGNC:26275
ENSG00000132002,DNAJB1,HGNC:5270
ENSG00000132003,ZSWIM4,HGNC:25704
ENSG00000132004,FBXW9,HGNC:28136
ENSG00000132005,RFX1,HGNC:9982
ENSG00000132010,ZNF20,HGNC:12992
ENSG00000132016,C19orf57,HGNC:28153
ENSG00000132017,DCAF15,HGNC:25095
ENSG00000132024,CC2D1A,HGNC:30237
ENSG00000132026,RTBDN,HGNC:30310
ENSG00000132031,MATN3,HGNC:6909
ENSG00000132109,TRIM21,HGNC:11312
ENSG00000132122,SPATA6,HGNC:18309
ENSG00000132128,LRRC41,HGNC:16917
ENSG00000132141,CCT6B,HGNC:1621
ENSG00000132153,DHX30,HGNC:16716
ENSG00000132155,RAF1,HGNC:9829
ENSG00000132164,SLC6A11,HGNC:11044
ENSG00000132170,PPARG,HGNC:9236
ENSG00000132182,NUP210,HGNC:30052
ENSG00000132185,FCRLA,HGNC:18504
ENSG00000132196,HSD17B7,HGNC:5215
ENSG00000132199,ENOSF1,HGNC:30365
ENSG00000132205,EMILIN2,HGNC:19881
ENSG00000132207,SLX1A,HGNC:20922
ENSG00000132254,ARFIP2,HGNC:17160
ENSG00000132256,TRIM5,HGNC:16276
ENSG00000132259,CNGA4,HGNC:2152
ENSG00000132274,TRIM22,HGNC:16379
ENSG00000132275,RRP8,HGNC:29030
ENSG00000132286,TIMM10B,HGNC:4022
ENSG00000132294,EFR3A,HGNC:28970
ENSG00000132297,HHLA1,HGNC:4904
ENSG00000132300,PTCD3,HGNC:24717
ENSG00000132305,IMMT,HGNC:6047
ENSG00000132313,MRPL35,HGNC:14489
ENSG00000132321,IQCA1,HGNC:26195
